aggregation,model,weight,syntactic,satisfaction
no_aggregation,AFC,"[1.0, 1.0, 1.0]",0.225806451612903,0.886492364341349
no_aggregation,AT,"[1.0, 1.0, 1.0]",0.107142857142857,0.500856297439623
no_aggregation,CC,"[1.0, 1.0, 1.0]",0.155172413793103,0.504561910594452
no_aggregation,EU,"[1.0, 1.0, 1.0]",0.0857142857142857,0.162726184252686
no_aggregation,NNP,"[1.0, 1.0, 1.0]",0.217391304347826,0.502062499389005
no_aggregation,TUI,"[1.0, 1.0, 1.0]",0.434782608695652,0.528879675869217
weighted_sum,AFC,"[1.0, 1.0, 1.0]",0.0909090909090909,0.7240176407924
weighted_sum,AT,"[1.0, 1.0, 1.0]",0.037037037037037,0.454615935400515
weighted_sum,CC,"[1.0, 1.0, 1.0]",0.1,0.357142448978426
weighted_sum,EU,"[1.0, 1.0, 1.0]",0.0714285714285714,0.514122040749328
weighted_sum,NNP,"[1.0, 1.0, 1.0]",0.173913043478261,0.225351835378584
weighted_sum,TUI,"[1.0, 1.0, 1.0]",0.0434782608695652,0.0462630222512614
